"","sw","lw","sensible","latent","hyporheic"
"highHE",0.364945041984173,0.136585359284614,0.0477429822412127,0.200535994109389,0.250190622380612
"modHE",0.387076388333502,0.143975891545234,0.0472294006635556,0.215287341626477,0.206430977831231
"lowHE",0.421478828582367,0.155649576849426,0.051067005727863,0.237719781853039,0.134084806987305
"Control",0.482679935336228,0.176458142544837,0.0643872033122329,0.276474718806702,0
"highShade",0.4627527554289,0.156203479910178,0.0824787313727029,0.298565033288219,0
"modShade",0.399002697584649,0.13348790466161,0.132020733698374,0.335488664055367,0
"lowShade",0.170575345541798,0.181239272523067,0.260154095837916,0.38803128609722,0
